AC No.,address,households,area(sq km),wardNo,district
60,Rani Garden Opposite Hr. Sec. School Shastri Nagar,935,16130,230,East
60,Infront of Block-12 Geeta Colony,130,2594,230,East
60,JJ Indira Camp Budh Bazar Block-B Geeta Colony,135,8910,229,East
60,"Shakar Pur Chungi Thokar 16 Lalita Park, Laxmi Nagar & Shamshan Ghat Thokar No.16 (For Pocket at Thokar No.16)",593,28073,229,East
67,Janta Mazdoor Camp Zafrabad Part-I,3943,78900,259,North East
67,Janta Mazdoor Camp Zafrabad Part-II,5000,30600,259,North East
65,CPJ-Block New Seelam Pur,151,8400,250,North East
65,"Along With Pushta EIJ Block, New Seelam Pur",348,14500,250,North East
65,Block.3/4K Brahampuri Road New Seelampur,254,24900,250,North East
65,"Block-D, Seelampur",1000,4294,250,North East
65,Block C-1 Imbira Pushta New Seelm Pur Market.,107,4696,250,North East
61,Block-G Gurdawra Park New Seelampur,283,4910,236,East
61,Chander Puri Railway Lines Old Seelam Pur,445,45906,234,East
61,Along Railway Lanes Kailash Lanes Gali No.-17,929,24541,234,East
61,Ajit Nagar Old Seelampur,604,24272,236,East
61,Pusthta Buland Masjid,2500,5672,233,East
61,"Block-C Shashtri Park, New Seelampur",400,6191,233,East
61,"Syamli Chirga, Near Police Check Post, Bihari
Building Yaumna Bridge",87,1100,233,East
61,Taj Colony G.T. Road Railway Line New Seelam Pur,173,2800,236,East
62,Old Seema Puri near Creamation Ground & Sun Light Colony ,545,11313,240,East
62,"Pushta between Old Seemapuri, DIF Dilshad Garden (Indira Nehru Camp Part-I)",101,2447,240,East
62,"Pushta Between Old Seemapuri, DLF Dilshad Garden (Indira Nehru Camp Part-II)",232,5188,240,East
63,E-Block Seema Puri,175,2701,242,East
63,D-Block New Seema Puri (Part-I),313,7208,242,East
63,"D-Block, New Seema Puri Part-II",157,4956,242,East
63,Sarhad Puri Road No.64 (Near Shanti Samiti ) Opposite New Seema Puri Part-II ,129,1775,242,East
63,Sarhad Puri Road No.64 Near Shanti Simiti Opposite New Seema Puri Part-I ,110,1750,242,East
63,New Janta Quaters New Seemapuri (Shanti Samiti),320,3374,242,East
63,Road No.64 Tahir Pur (Leprosy Camp),444,8450,242,East
63,"Opposite OSPD-Block, New Seema Puri",488,4200,242,East
63,Jain Mandir Block-B-1/35 Dilshad Garden,841,14025,242,East
63,Block-F New Seema Puri,1107,26050,242,East
